title,address,description,date,seller,price,image
4 bedroom end of terrace house for sale,"Dupre Close, Slough, Berkshire",** BEAUTIFULLY PRESENTED three bedroom end of terrace family home** CONVERTED GARAGE with additional bedroom space** Driveway PARKING for two to three vehicles** Spacious living room** Loft space converted into large double bedroom** Modern fitted kitchen and bathrooms** Private rear garden with ...,24/10/2019,"Cameron King, Cippenham","£450,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/53k/52364/65971134/52364_29207950_IMG_01_0000_max_476x317.jpg
12 bedroom apartment for sale,"Grove Parade, Slough","This is a fantastic opportunity for an investor to purchase a block of one bedroom apartments that are achieving £800 per calendar month. The building also includes a ground floor commercial unit currently being let for £30,000pa.",27/03/2019,"Roger Platt, Maidenhead","£3,250,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1778/61267350/1778_MHD115354_IMG_01_0000_max_476x317.JPG
5 bedroom detached house for sale,"Rambler Lane, Slough","A substantial five bedroom detached house situated at the end of this prime cul-de-sac just off the London Road. It benefits from three reception rooms, 15ft refitted kitchen, en-suite to master bedroom, gas central heating to radiators, double glazed windows and a double width garage.",05/06/2019,"Connells, Slough",POA,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1579/82360934/1579_SGH306393_IMG_01_0001_max_476x317.JPG
5 bedroom detached house for sale,"Foxley Grove, Burnham, Slough, SL1",Beeches House was built approximately 8 years ago by Old English Developments but has been completely redesigned and improved by the current owners to create superb living space. EPC Rating C,01/10/2019,"Bovingdons, South Buckinghamshire","£1,250,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/189k/188105/85270022/188105_BVN180017_IMG_01_0000_max_476x317.jpg
5 bedroom detached house for sale,"Dropmore Road, Burnham, SL1","An attractive five-bedroom detached family house situated in one of the most sought-after residential areas of Burnham, featuring stunning gardens and grounds. The property has been the subject of extension and improvement in recent years but still retains many character features. The property is...",07/09/2019,"The Frost Partnership, Burnham","£1,200,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/7k/6900/84538001/6900_331689_IMG_01_0000_max_476x317.jpg
5 bedroom detached house for sale,"Pink Lane, Burnham, SL1","A substantial 5-bedroom executive home constructed in 1998 by Berkeley Homes, maintained and upgraded by the current owners to a high standard. In recent years the property has been further enhanced, including new double glazing (2016/2017), new kitchen (2014), new family bathroom and redecoratio...",04/11/2019,"The Frost Partnership, Burnham","£1,100,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/7k/6900/83573138/6900_80478_IMG_21_0000_max_476x317.jpg
5 bedroom detached house for sale,"Slough,Berkshire,SL1","Located less than a mile from Slough High Street and train station is this well proportioned detached, three story family home.",07/03/2019,"Chancellors, Slough","£1,100,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145253/79940834/145253_3002140_IMG_11_0000_max_476x317.jpg
4 bedroom detached house for sale,"Church Grove, Slough, Berkshire, SL3","Recently constructed detached family home situated in a sought after cul-de-sac, close to Wexham Park Hospital and within a short drive of Slough and Gerrards Cross stations, providing excellent access into London Paddington and Marylebone respectively.",07/11/2019,"Glenmore, Gerrards Cross","£1,099,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78162/86376584/78162_WATERSIDEHOUSE_IMG_00_0000_max_476x317.jpg
4 bedroom detached house for sale,"Church Grove, Wexham, SL3",Waterside House is a beautifully constructed detached home situated in a quiet cul-de-sac within Wexham. Smart New Home Technology System.,11/07/2019,"The Frost Partnership, Gerrards Cross","£1,099,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/10k/9009/81207881/9009_320959_IMG_23_0000_max_476x317.jpg
4 bedroom detached house for sale,"Church Grove, Wexham","Situated at the end of a popular cul-de-sac location is this stylish detached family home offering sizeable accommodation of around 3,200 sq. ft. The property is offered for sale with no chain and has been built to a high specification, with many features that embrace modern living. T...",11/07/2019,"Romans, Gerrards Cross","£1,099,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/47k/46010/54676671/46010_GRC180183_IMG_01_0000_max_476x317.jpg
4 bedroom detached house for sale,LANGLEY ROAD - EXTENDED ,"Situated on Langley Road is this attractive four/five bedroom and two bathroom detached family home in one of the area's most sought after locations. The property offers flexible & versatile living with features including entrance hall, lounge with a raised entertaining area, dining room,...",22/10/2019,"B Simmons & Son, Langley","£950,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107261/73487623/107261_4710781_IMG_01_0000_max_476x317.jpg
4 bedroom detached house for sale,"Bowmans Close, Burnham, SL1","A superb detached four bedroom, two bathroom family home with beautiful countryside views, parking, garage and garden, tucked away in a cul de sac location within Burnham village.",08/05/2019,"Hamptons International Sales, Maidenhead","£935,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/38k/37874/76175300/37874_MAI180238_IMG_16_0000_max_476x317.jpg
4 bedroom detached house for sale,"Bowmans Close, Burnham, SL1","An impressive family home located in a HIGHLY DESIRABLE CUL DE SAC with AMAZING VIEWS to the front aspect over open countryside. The property has been the subject of CONSIDERABLE IMPROVEMENT over recent years, in addition to a g...",08/05/2019,"The Frost Partnership, Burnham","£935,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/7k/6900/76086662/6900_339930_IMG_58_0000_max_476x317.jpg
6 bedroom cottage for sale,"Little Sutton Lane, Iver/Langley Borders, SL3","A chance to purchase this beautiful grade II listed, five/six bedroom detached character home set in an impressive third of an acre that includes a heated swimming pool, garage, and large frontage offering parking for at least eight cars. This cosy family home offers a warmth rarely on offer a...",10/12/2019,"Hilton King & Locke, Iver","£925,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/7k/6006/66952581/6006_16650137_IMG_01_0000_max_476x317.jpg
7 bedroom detached house for sale,"Lambourne Close, Burnham, Slough, SL1","The property forms part of an appealing development of detached family houses in a gated development, located approximately 0.4 miles from Burnham Village which offers a selection of shops, local sized supermarkets, butchers, bakery, restaurants, pubs and a building society. ",17/08/2019,"The Frost Partnership, Burnham","£920,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/7k/6900/84070049/6900_362115_IMG_20_0000_max_476x317.jpg
