title,address,description,date,seller,price,image
1 bedroom apartment for sale,"Longleat Avenue, Park Central, B15","""Location, location, location!"" Within close proximity to City Centre & New Street Station. A great opportunity for an investor to purchase an apartment in the highly sought after Park Central area, benefiting from a balcony.",13/12/2019,"Martin & Co, Birmingham City","£154,500",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/167k/166586/63700179/166586_100714011527_IMG_01_0000_max_476x317.jpg
Land for sale,"Dee Banks, Great Boughton, Chester, CH3",A truly magnificent Waterfront property which is without a doubt one of the most prestigious houses on the banks of The River Dee. This is a once in a lifetime opportunity to purchase a South West facing brown field site with professionally landscaped gardens leading down to substantial private m...,,"Marketed Thomas Property Group, Chester","£2,600,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/11k/10473/65242092/10473_102407009335_IMG_01_0000_max_476x317.jpg
5 bedroom detached house for sale,"Dee Banks, Great Boughton, Chester, CH3",A truly magnificent Waterfront property which is without a doubt one of the most prestigious houses on the banks of The River Dee. This is a once in a lifetime opportunity to purchase a South West facing brown field site with professionally landscaped gardens leading down to substantial private m...,21/09/2019,"Thomas Property Group, Chester","£2,600,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/11k/10473/65242734/10473_102407009341_IMG_01_0000_max_476x317.jpg
8 bedroom detached house for sale,"Westfield Road, Edgbaston","A magnificent Victorian gentleman´s residence of exceptional quality, occupying a stunning plot of approximately 0.7 acre in a prime section of one of Edgbaston´s most favoured roads.",16/05/2019,"Robert Powell, Birmingham","£2,495,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/18k/17688/71730409/17688_101367007570_IMG_01_0000_max_476x317.jpg
7 bedroom house for sale,"Farquhar Road, Edgbaston, Birmingham, B15 3RE","This superbly well-appointed home is therefore ideally suited for family occupation and entertaining purposes, with a large central reception hall leading off to the three generously proportioned reception rooms, as well as to the separate breakfast room and high quality breakfast kitchen, which ...",21/12/2018,"Northwood, Birmingham - B5","£2,395,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73454/64890306/73454_806_IMG_01_0000_max_476x317.jpg
6 bedroom house for sale,"10 Chad Road, Edgbaston, Birmingham, B15","6 bedroom house for sale in Edgbaston, B15An impressive period residence with extensive accommodation extending to around 6,631 sq.ft. in total and set on the Calthorpe Estate within charming westerly facing gardens and grounds of approximately 0.36 acres.The property is set behind electri...",17/08/2019,"Knight Frank, Birmingham","£1,950,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/188k/187751/73608400/187751_BRM190126_IMG_01_0000_max_476x317.jpg
6 bedroom detached house for sale,"Sir Harrys Road, Edgbaston, Birmingham, B15 2UY","A simply beautiful family home with space and flexibility to suit any family. Wonderful gardens designed specifically for adults and children alike to spend time together and to entertain. The property has six bedrooms, four reception rooms, three bathrooms and further multi purpose rooms. ",09/07/2019,"Hunters, Harborne","£1,600,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97928/83192849/97928_HRBSP212723_IMG_01_0000_max_476x317.jpg
6 bedroom detached house for sale,"Meadow Road, Edgbaston","A superb six bedroom detached residence situated on a fantastic plot, within one of Edgbastons most prominent locations. The property offers flexible accommodation including three reception rooms, large breakfast kitchen and three bath/shower rooms, set over three floors.",17/08/2019,"James Laurence Sales and Lettings, Edgbaston","£1,499,950",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/129k/128548/87183686/128548_102857003113_IMG_01_0000_max_476x317.jpg
4 bedroom detached house for sale,"Westfield Road, Edgbaston",An attractive detached house in Edgbaston´s premier road offering fantastic scope for significant extensions (subject to consents) to create a substantial modern family home set within a plot of around half an acre.,01/07/2019,"Robert Powell, Birmingham","£1,495,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/18k/17688/72617833/17688_101367007620_IMG_01_0000_max_476x317.jpg
4 bedroom semi-detached house for sale,"Frederick Road, Edgbaston, B15 1JN",A rare opportunity to purchase a beautifully modernised and extended Georgian townhouse set on what many consider the most exclusive residential cul-de-sac on the desirable Calthorpe Estate.,14/11/2019,"Davidson Estates, Birmingham","£1,350,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43038/75502786/43038_103507000245_IMG_01_0000_max_476x317.jpg
6 bedroom detached house for sale,"Croftdown Road, Harborne","VERY LARGE and CONSIDERABLY extended DETACHED family home in POPULAR HARBORNE location, with IN/OUT DRIVE. 3 reception rooms, SUPERB 21FT FITTED family kitchen. 5 DOUBLE beds, bathroom and 2 ADDITIONAL shower rooms, side ANNEX with lounge, bedroom, kitchen and shower room. 40FT GARAGE and LARGE r...",12/12/2019,"Humberstones Homes, Quinton","£1,250,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/34k/33146/67016583/33146_9977145_IMG_01_0000_max_476x317.jpg
5 bedroom detached house for sale,"Hermitage Road, Edgbaston, Birmingham, West Midlands","Set back behind private electric gates on the much sought after Hermitage Road in Edgbaston, is this superbly spacious and immaculately presented detached five bedroom, three bathroom family home.",05/12/2019,"Fine & Country, The Mailbox, Birmingham","£1,200,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67935/87231296/67935_29317495_IMG_01_0000_max_476x317.jpg
4 bedroom house for sale,"St Mary's Road, Harborne","A superbly located four bedroomed detached family residence with delightful south facing rear garden ideally situated in a prime location of Harborne.
EPC BAND RATING E",today,"Hadleigh, Harborne","£1,199,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/7k/6892/76212292/6892_29336847_IMG_01_0000_max_476x317.jpg
6 bedroom detached house for sale,"Nursery Road, Edgbaston",Six bedroom detached house with separate cottage and studio flat occupying a splendid larger plot in a much sought after prime location close to Harborne High Street,12/11/2019,"Englands Estate Agents, Harborne","£1,150,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/16k/15170/84309713/15170_101624005643_IMG_90_0000_max_476x317.jpg
5 bedroom detached house for sale,Headley Heath BIRMINGHAM,"A SPACIOUS DETACHED FIVE BEDROOM HOUSE, SET IN APPROX. 10 ACRES WITH USEFUL OUTBUILDINGS, STABLES, MANEGE AND PADDOCKS",30/09/2019,"Rural Scene , Wiltshire","£1,150,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/38k/37899/85244183/37899_37899_12769_IMG_01_0000_max_476x317.jpg
10 bedroom terraced house for sale,"Margaret Road, Harborne ","*** Fantastic Investment Opportunity In The Heart Of Harborne – Two Properties – Ten Bedrooms *** A fantastic opportunity to acquire a a luxury student property/development in Harborne consisting of a six-bedroom house with three bathrooms, lounge and extended kitchen. To rear, there is a four-b...",23/07/2019,"Oakmans Estate Agents, Birmingham","£1,100,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/113k/112342/63887361/112342_2457563_IMG_01_0000_max_476x317.jpg
4 bedroom detached house for sale,"Fitzroy Avenue, Harborne, Birmingham, B17 8RQ",A beautiful detached family residence located on the highly desirable Fitz Roy Avenue. The wonderful home provides excellent living and entertaining space and is arranged over two generous floors. Dow...,03/07/2019,"Wentworth & Rose , Harborne","£1,100,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/93k/92029/80057750/92029_494733_IMG_10_0001_max_476x317.jpg
5 bedroom detached house for sale,"Stonehouse Lane, Hopwood, Alvechurch, Birmingham, B48","5 bedroom house for sale in Hopwood, B48 Avonlea is a superbly presented family home built in 2008. Approached by its large private gravel driveway directly from Stonehouse Lane there is ample parking for several vehicles. The front door opens to a lovely light spacious reception hallway. ...",16/11/2019,"Knight Frank, Birmingham","£1,100,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/188k/187751/75534229/187751_BRM190152_IMG_01_0000_max_476x317.jpg
5 bedroom detached house for sale,"Charlotte Road, Edgbaston",An impressive Grade 2 listed period three storey detached residence located in this prime residential area of Edgbaston. The property boasts five bedrooms and five bathrooms together with a large south west facing rear garden.,11/12/2019,"Hadleigh, Harborne","£1,100,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/7k/6892/84837713/6892_28716840_IMG_01_0000_max_476x317.jpg
5 bedroom detached house for sale,"Astonbury, Edgbaston","A superb Five bedroom detached family home in one of the most exclusive cul de sac's within Edgbaston. The property is situated in a fabulous corner plot location offering large rear garden and front driveway, with accommodation including large kitchen, three reception rooms, bathroom and ensuite...",27/09/2019,"James Laurence Sales and Lettings, Edgbaston","£1,095,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/129k/128548/65375778/128548_102857003179_IMG_01_0000_max_476x317.jpg
9 bedroom detached house for sale,"Handsworth Wood Road, Birmingham","Imposing, Striking and beaming with character, this majestic Victorian Semi-Detached property offers a variety of potential and scope for residential and investment purposes. The property offers nine bedrooms and three reception rooms across three floors. The property could be great asset for inv...",02/10/2019,"Paul Carr, Hamstead","£1,000,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/50k/49231/65484168/49231_9853043_IMG_01_0000_max_476x317.jpg
9 bedroom detached house for sale,"Handsworth Wood Road, Handsworth Wood, Birmingham, B20","Towering triple fronted Victorian detached, scope for re-development, huge detached garage, separate detached bungalow cottage via Somerset Road...",12/10/2019,"Belvoir Sales, Sutton Coldfield","£1,000,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/78k/77904/65692602/77904_P1811_IMG_03_0000_max_476x317.jpg
5 bedroom detached house for sale,"Crondal Place, Edgbaston, B15 2LB",Beautifully presented and extended executive family home set on the highly desirable Calthorpe Estate. Parking for 8 cars. Furniture purchase option. Walking distance to West House Nursery.,21/10/2019,"Davidson Estates, Birmingham","£1,000,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43038/74405143/43038_103507000219_IMG_01_0000_max_476x317.jpg
4 bedroom detached house for sale,"Fitz Roy Avenue, Harborne","An attractive family home, traditional in style, and with a large delightful south/west-facing garden, spacious with excellent potential to extend subject to consents. Sold with no chain and located on of the most prominent roads in Harborne. ",14/11/2019,"Robert Powell, Birmingham","£995,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/18k/17688/75498340/17688_101367007701_IMG_01_0000_max_476x317.jpg
12 bedroom detached house for sale,"Warwick Road, Acocks Green"," An ATTRACTIVE Victorian detached dwelling with brick COACH HOUSE having undergone REFURBISHMENT PROGRAMME and having being converted into a 9 BEDROOM HMO with THREE SELF CONTAINED FLATS. Currently comprises; To the Ground Floor - vestibule, spacious reception hallway, communal lounge, three bedr...",19/11/2018,"Cottons, Edgbaston","£995,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7419/77264801/7419_6117561_IMG_01_0000_max_476x317.jpg
2 bedroom ground floor flat for sale,"Kingston Row, Birmingham","A stunning two bedroom, two bathroom restored artisan FREEHOLD flat styled cottage, exclusively with James Laurence. The property offers unique central canal views, high specification kitchen area and secure parking. Internal viewing a must.
",09/12/2019,"James Laurence Sales and Lettings, Birmingham","£330,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/11k/10499/76061647/10499_102857003269_IMG_01_0000_max_476x317.jpg
3 bedroom apartment for sale,"Marshall Street, Birmingham, West Midlands",A superb opportunity has arisen to acquire an outstanding New York style loft apartment in the heart of the city just a short stroll from The Mailbox and The Cube. This former converted warehouse has been uniquely designed to create an exclusive number of exceptional open plan luxury apartments.,04/03/2019,"Fine & Country, The Mailbox, Birmingham","£995,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67935/79824866/67935_28593597_IMG_01_0000_max_476x317.jpg
3 bedroom apartment for sale,"Marshall Street, Birmingham","Occupying a prime urban position adjacent to The Mailbox and The Cube in the heart of Birmingham City Centre, this unique New York style loft apartment offers city centre living at the very height of design and decor.",04/03/2019,"Fine & Country, The Mailbox, Birmingham","£995,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67935/79824905/67935_28593605_IMG_01_0000_max_476x317.jpg
7 bedroom semi-detached house for sale,"Yew Tree Road , Edgbaston","A handsome and beautifully appointed Grade 2 listed Victorian house, much improved over recent years by the current owners, and offering extensive living accommodation of some 4,305 sq.ft. (400 sq.m.), whilst set in delightful south west facing gardens.",20/11/2019,"Robert Powell, Birmingham","£925,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/18k/17688/74370871/17688_101367007667_IMG_39_0000_max_476x317.jpg
